Nome Empresa;Código;Denominação;Natureza;Nome Natureza;Ref. salarial inicial (Plano de Cargos);Providos;Cargos<br>Vagos;Total;Providos;Empregos<br>Vagos;Total;Providos;Comissão<br>Vagos;Total;Providos;Contratos<br>Vagos;Total
PREFEITURA MUNICIPAL DE PADRE MARCOS;0134;COOR. LIMPEZA E CONSERVAÇÃO ESCOLAR;2;Comissão;;0;0;0;0;0;0;4;-4;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0135;DIRETOR(A) DE EVENTOS ESPORTIVOS ESCOLARES;2;Comissão;;0;0;0;0;0;0;5;-5;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0136;DIRETOR(A) DE EDUCAÇÃO AMBIENTAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0137;DIRETOR(A) DE RECURSOS HUMANOS ESCOLAR;2;Comissão;;0;0;0;0;0;0;3;-3;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0138;DIRETORA DE ALIMENTAÇÃO ESCOLAR;3;Temporário;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0139;COOR. DE EQUIPE MULTIPROFISSIONAL ESCOLAR;2;Comissão;;0;0;0;0;0;0;2;-2;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0140;DIRETOR(A) DE PLANEJAMENTO, TECNOLOGIA E INOVAÇÃO;2;Comissão;;0;0;0;0;0;0;2;-2;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0141;COOR. DE FEIRA, EVENTOS E COMÉRCIO LOCAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0142;COOR. CLINICO DO HOSPITAL MUNICIPAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0143;SEC. MUNICIPAL DE DESENVOLVIMENTO E MICROEMPREENDEDORISMO;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0144;COOR. DE PROGRAMAS ESPECIAIS DA AGRICULTURA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0145;SEC. ESCOLAR DA EDU. DE JOVENS E ADULTOS (EJA);2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
