Extra;Data;Especificação;Arrec. Total
9079;27/02/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;3.580,67
9056;27/02/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 40%;9.077,24
9008;27/02/2025;EMPRESTIMO CONSIGNADO CEF;4.440,90
9009;27/02/2025;I.R.R.F;27,28
9109;11/03/2025;IRRF - PESSOA JURÍDICA;13,44
9109;11/03/2025;IRRF - PESSOA JURÍDICA;20,78
9109;11/03/2025;IRRF - PESSOA JURÍDICA;16,75
9109;11/03/2025;IRRF - PESSOA JURÍDICA;17,81
9109;17/03/2025;IRRF - PESSOA JURÍDICA;167,26
9109;17/03/2025;IRRF - PESSOA JURÍDICA;168,24
9109;17/03/2025;IRRF - PESSOA JURÍDICA;207,12
9109;17/03/2025;IRRF - PESSOA JURÍDICA;204,91
9109;17/03/2025;IRRF - PESSOA JURÍDICA;153,65
9109;18/03/2025;IRRF - PESSOA JURÍDICA;209,02
9109;18/03/2025;IRRF - PESSOA JURÍDICA;161,89
9109;21/03/2025;IRRF - PESSOA JURÍDICA;16,40
