CÛdigo;EspecificaÁ„o;Cod. AplicaÁ„o;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. PerÌodo;Arrec. Total
1321.01.0.1.03;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - PNAE;999.000;1.552 0;1.552.01 9999;790,00;1.402,30;1.402,30;1.402,30
1321.01.0.1.04;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - PNATE;999.000;1.553 0;1.553.01 9999;1.400,00;1.757,04;1.757,04;1.757,04
1321.01.0.1.05;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - FNDE;999.000;1.569 0;1.569.01 9999;5.000,00;4.649,37;4.649,37;4.649,37
1321.01.0.1.06;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - EDUC ESTADO;999.000;1.576 0;1.576.01 9999;750,00;2.468,89;2.468,89;2.468,89
1321.01.0.1.07;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - FEP;999.000;1.704 0;1.704.00 9999;1.300,00;1.038,10;1.038,10;1.038,10
1321.01.0.1.08;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - CIDE;999.000;1.750 0;1.750.05 9999;130,00;142,68;142,68;142,68
1321.01.0.1.13;REMUNERA«√O DE DEP”SITOS BANC¡RIOS - PDDE;999.000;1.551 0;1.551.01 9999;0,00;0,21;0,21;0,21
1700.00.0.0.00;TRANSFER NCIAS CORRENTES;;;;20.553.109,00;17.601.045,52;17.600.988,85;17.600.988,85
1710.00.0.0.00;TRANSFER NCIAS DA UNI√O E DE SUAS ENTIDADES;;;;16.969.445,00;14.504.638,17;14.504.638,17;14.504.638,17
1711.00.0.0.00;TRANSFER NCIAS DECORRENTES DE PARTICIPA«√O NA RECEITA DA UNI;;;;14.829.823,00;13.440.298,63;13.440.298,63;13.440.298,63
1711.51.1.1.00;COTA-PARTE DO FUNDO DE PARTICIPA«√O DOS MUNICÕPIOS - COTA ME;;;;14.000.150,00;12.389.623,33;12.389.623,33;12.389.623,33
1711.51.1.1.00;COTA-PARTE DO FUNDO DE PARTICIPA«√O DOS MUNICÕPIOS - COTA ME;999.000;1.500 0;1.500.00 9999;14.000.150,00;12.389.623,33;12.389.623,33;12.389.623,33
1711.51.2.1.00;COTA-PARTE DO FUNDO DE PARTICIPA«√O DOS MUNICÕPIOS - COTAS E;;;;829.523,00;1.049.677,42;1.049.677,42;1.049.677,42
1711.51.2.1.00;COTA-PARTE DO FUNDO DE PARTICIPA«√O DOS MUNICÕPIOS - COTAS E;999.000;1.500 0;1.500.00 9999;829.523,00;1.049.677,42;1.049.677,42;1.049.677,42
1711.52.0.1.00;COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL;;;;150,00;997,88;997,88;997,88
1711.52.0.1.00;COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL;999.000;1.500 0;1.500.00 9999;150,00;997,88;997,88;997,88
1712.00.0.0.00;TRANSFER NCIAS DAS COMPENSA«’ES FINANCEIRAS PELA EXPLORA«√O;;;;280.000,00;255.125,15;255.125,15;255.125,15
1712.52.4.1.00;COTA-PARTE DO FUNDO ESPECIAL DO PETR”LEO ñ FEP - PRINCIPAL;;;;280.000,00;255.125,15;255.125,15;255.125,15
1712.52.4.1.00;COTA-PARTE DO FUNDO ESPECIAL DO PETR”LEO ñ FEP - PRINCIPAL;999.000;1.704 0;1.704.00 9999;280.000,00;255.125,15;255.125,15;255.125,15
1714.00.0.0.00;TRANSFER NCIAS DE RECURSOS DO FUNDO NACIONAL DO DESENVOLVIME;;;;1.096.112,00;801.591,48;801.591,48;801.591,48
1714.50.0.1.00;TRANSFER NCIAS DO†SAL¡RIO-EDUCA«√O - PRINCIPAL;;;;231.572,00;115.909,83;115.909,83;115.909,83
1714.50.0.1.00;TRANSFER NCIAS DO†SAL¡RIO-EDUCA«√O - PRINCIPAL;999.000;1.550 0;1.550.01 9999;231.572,00;115.909,83;115.909,83;115.909,83
1714.52.0.1.00;TRANSFER NCIAS REFERENTES AO PROGRAMA NACIONAL DE ALIMENTA«√;;;;317.870,00;307.149,80;307.149,80;307.149,80
1714.52.0.1.00;TRANSFER NCIAS REFERENTES AO PROGRAMA NACIONAL DE ALIMENTA«√;999.000;1.552 0;1.552.01 9999;317.870,00;307.149,80;307.149,80;307.149,80
1714.53.0.1.00;TRANSFER NCIAS REFERENTES AO PROGRAMA NACIONAL DE APOIO AO T;;;;196.670,00;96.061,29;96.061,29;96.061,29
1714.53.0.1.00;TRANSFER NCIAS REFERENTES AO PROGRAMA NACIONAL DE APOIO AO T;999.000;1.553 0;1.553.01 9999;196.670,00;96.061,29;96.061,29;96.061,29
1714.99.0.1.00;OUTRAS TRANSFER NCIAS DIRETAS DO FUNDO NACIONAL DO DESENVOLV;;;;350.000,00;282.470,56;282.470,56;282.470,56
1714.99.0.1.00;OUTRAS TRANSFER NCIAS DIRETAS DO FUNDO NACIONAL DO DESENVOLV;999.000;1.569 0;1.569.01 9999;350.000,00;282.470,56;282.470,56;282.470,56
1717.00.0.0.00;TRANSFER NCIAS DE CONV NIOS DA UNI√O E DE SUAS ENTIDADES;;;;300.000,00;0,00;0,00;0,00
1717.99.0.1.00;OUTRAS TRANSFER NCIAS DE CONV NIOS DA UNI√O E DE SUAS ENTIDA;;;;300.000,00;0,00;0,00;0,00
1717.99.0.1.00;OUTRAS TRANSFER NCIAS DE CONV NIOS DA UNI√O E DE SUAS ENTIDA;999.000;1.700 0;1.700.05 9999;300.000,00;0,00;0,00;0,00
1719.00.0.0.00;OUTRAS TRANSFER NCIAS DE RECURSOS DA UNI√O E DE SUAS ENTIDAD;;;;463.510,00;7.622,91;7.622,91;7.622,91
1719.99.0.1.00;OUTRAS TRANSFER NCIAS DE RECURSOS DA UNI√O E DE SUAS ENTIDAD;;;;463.510,00;7.622,91;7.622,91;7.622,91
1719.99.0.1.00;OUTRAS TRANSFER NCIAS DE RECURSOS DA UNI√O E DE SUAS ENTIDAD;999.000;1.500 0;1.500.00 9999;463.510,00;7.622,91;7.622,91;7.622,91
1719.99.0.1.02;OUTRAS TRANSFER NCIAS DE RECURSOS DA UNI√O E DE SUAS ENTIDAD;999.000;1.711 0;1.711.00 9999;0,00;0,00;0,00;0,00
1720.00.0.0.00;TRANSFER NCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS E;;;;3.583.664,00;3.096.407,35;3.096.350,68;3.096.350,68
1721.00.0.0.00;PARTICIPA«√O NA RECEITA DOS ESTADOS E DISTRITO FEDERAL;;;;3.492.865,00;2.734.895,75;2.734.839,08;2.734.839,08
1721.50.0.1.00;COTA-PARTE DO ICMS - PRINCIPAL;;;;2.673.800,00;2.197.148,94;2.197.148,94;2.197.148,94
1721.50.0.1.00;COTA-PARTE DO ICMS - PRINCIPAL;999.000;1.500 0;1.500.00 9999;2.673.800,00;2.197.148,94;2.197.148,94;2.197.148,94
1721.51.0.1.00;COTA-PARTE DO IPVA - PRINCIPAL;;;;788.700,00;535.081,35;535.081,35;535.081,35
1721.51.0.1.00;COTA-PARTE DO IPVA - PRINCIPAL;999.000;1.500 0;1.500.00 9999;788.700,00;535.081,35;535.081,35;535.081,35
1721.52.0.1.00;COTA-PARTE DO IPI - MUNICÕPIOS - PRINCIPAL;;;;365,00;365,00;308,33;308,33
1721.52.0.1.00;COTA-PARTE DO IPI - MUNICÕPIOS - PRINCIPAL;999.000;1.500 0;1.500.00 9999;365,00;365,00;308,33;308,33
1721.53.0.1.00;COTA-PARTE DA CONTRIBUI«√O DE INTERVEN«√O NO DOMÕNIO ECON‘MI;;;;30.000,00;2.300,46;2.300,46;2.300,46
1721.53.0.1.00;COTA-PARTE DA CONTRIBUI«√O DE INTERVEN«√O NO DOMÕNIO ECON‘MI;999.000;1.750 0;1.750.05 9999;30.000,00;2.300,46;2.300,46;2.300,46
1729.00.0.0.00;OUTRAS TRANSFER NCIAS DOS ESTADOS E DISTRITO FEDERAL;;;;90.799,00;361.511,60;361.511,60;361.511,60
1729.52.0.1.00;TRANSFER NCIAS DE RECURSOS DESTINADOS A PROGRAMAS DE EDUCA«√;;;;90.799,00;361.511,60;361.511,60;361.511,60
1729.52.0.1.00;TRANSFER NCIAS DE RECURSOS DESTINADOS A PROGRAMAS DE EDUCA«√;999.000;1.576 0;1.576.01 9999;90.799,00;361.511,60;361.511,60;361.511,60
1900.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;25.190,00;0,00;0,00;0,00
1920.00.0.0.00;INDENIZA«’ES, RESTITUI«’ES E RESSARCIMENTOS;;;;10.000,00;0,00;0,00;0,00
1922.00.0.0.00;RESTITUI«’ES;;;;10.000,00;0,00;0,00;0,00
1922.99.0.1.00;OUTRAS RESTITUI«’ES - PRINCIPAL;;;;10.000,00;0,00;0,00;0,00
1922.99.0.1.00;OUTRAS RESTITUI«’ES - PRINCIPAL;999.000;1.500 0;1.500.00 9999;10.000,00;0,00;0,00;0,00
1990.00.0.0.00;DEMAIS RECEITAS CORRENTES;;;;15.190,00;0,00;0,00;0,00
1999.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;15.190,00;0,00;0,00;0,00
1999.99.2.1.00;OUTRAS RECEITAS N√O ARRECADADAS E N√O PROJETADAS PELA RFB -;;;;15.190,00;0,00;0,00;0,00
1999.99.2.1.00;OUTRAS RECEITAS N√O ARRECADADAS E N√O PROJETADAS PELA RFB -;999.000;1.500 0;1.500.00 9999;15.190,00;0,00;0,00;0,00
2000.00.0.0.00;RECEITAS DE CAPITAL;;;;3.100.000,00;1.099.619,85;1.099.619,85;1.099.619,85
2200.00.0.0.00;ALIENA«√O DE BENS;;;;0,00;112.000,00;112.000,00;112.000,00
2210.00.0.0.00;ALIENA«√O DE BENS M”VEIS;;;;0,00;112.000,00;112.000,00;112.000,00
2213.00.0.0.00;ALIENA«√O DE BENS M”VEIS E SEMOVENTES;;;;0,00;112.000,00;112.000,00;112.000,00
2213.01.0.1.00;ALIENA«√O DE BENS M”VEIS E SEMOVENTES - PRINCIPAL;;;;0,00;112.000,00;112.000,00;112.000,00
2213.01.0.1.00;ALIENA«√O DE BENS M”VEIS E SEMOVENTES - PRINCIPAL;999.000;1.755 0;1.755.05 9999;0,00;112.000,00;112.000,00;112.000,00
2400.00.0.0.00;TRANSFER NCIAS DE CAPITAL;;;;3.100.000,00;987.619,85;987.619,85;987.619,85
2410.00.0.0.00;TRANSFER NCIAS DA UNI√O E DE SUAS ENTIDADES;;;;3.070.000,00;987.619,85;987.619,85;987.619,85
2414.00.0.0.00;TRANSFER NCIAS DE CONV NIOS DA UNI√O E DE SUAS ENTIDADES†;;;;3.070.000,00;987.619,85;987.619,85;987.619,85
2414.51.0.1.00;TRANSFER NCIAS DE CONV NIOS DA UNI√O DESTINADAS A PROGRAMAS;;;;600.000,00;0,00;0,00;0,00
2414.51.0.1.00;TRANSFER NCIAS DE CONV NIOS DA UNI√O DESTINADAS A PROGRAMAS;999.000;1.570 0;1.570.01 9999;600.000,00;0,00;0,00;0,00
2414.99.0.1.00;OUTRAS TRANSFER NCIAS DE CONV NIOS DA UNI√O E DE SUAS ENTIDA;;;;2.470.000,00;987.619,85;987.619,85;987.619,85
2414.99.0.1.00;OUTRAS TRANSFER NCIAS DE CONV NIOS DA UNI√O E DE SUAS ENTIDA;999.000;1.700 0;1.700.05 9999;2.470.000,00;987.619,85;987.619,85;987.619,85
2420.00.0.0.00;TRANSFER NCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS E;;;;30.000,00;0,00;0,00;0,00
2422.00.0.0.00;TRANSFER NCIAS DE CONV NIOS DOS ESTADOS E DF E DE SUAS ENTID;;;;30.000,00;0,00;0,00;0,00
2422.99.0.1.00;OUTRAS TRANSFER NCIAS DE CONV NIOS DOS ESTADOS E DF E DE SUA;;;;30.000,00;0,00;0,00;0,00
2422.99.0.1.00;OUTRAS TRANSFER NCIAS DE CONV NIOS DOS ESTADOS E DF E DE SUA;999.000;1.701 0;1.701.05 9999;30.000,00;0,00;0,00;0,00
9000.00.0.0.00;(R) DEDUCOES DA RECEITA;;;;-3.492.633,00;-3.492.633,00;-2.939.934,09;-2.939.934,09
9500.00.0.0.00;(R) DEDU«’ES DO FUNDEB;;;;-3.492.633,00;-3.492.633,00;-2.939.934,09;-2.939.934,09
9510.00.0.0.00;(R) DEDU«’ES DO FUNDEB;;;;-3.492.633,00;-3.492.633,00;-2.939.934,09;-2.939.934,09
9510.00.0.0.00;(R) DEDU«’ES DO FUNDEB;;;;-3.492.633,00;-3.492.633,00;-2.939.934,09;-2.939.934,09
9510.00.0.0.00;(R) DEDU«’ES DO FUNDEB;999.000;1.500 0;1.500.00 9999;-3.492.633,00;-3.492.633,00;-2.939.934,09;-2.939.934,09
;;;;;21.429.303,00;17.171.127,00;17.738.551,97;17.738.551,97
